obsrad,prox,maxvel,acce_tc,wrt,svt,time,arb,num_a_s,max_jerk,ave_jerk
5.000000,1.000000,3.000000,2.000000,1.000000,0.200000,6.390000,0.395684,0.000000,416.986012,5.646106
5.000000,1.000000,3.000000,2.000000,1.000000,0.500000,6.390000,0.395684,0.000000,416.986012,5.646106
5.000000,1.000000,3.000000,2.000000,1.000000,1.000000,6.390000,0.395684,0.000000,416.986012,5.646106
5.000000,1.000000,3.000000,2.000000,3.000000,0.200000,5.730000,0.395684,0.000000,416.986012,6.295494
5.000000,1.000000,3.000000,2.000000,3.000000,0.500000,5.730000,0.395684,0.000000,416.986012,6.295494
5.000000,1.000000,3.000000,2.000000,3.000000,1.000000,5.730000,0.395684,0.000000,416.986012,6.295494
5.000000,1.000000,3.000000,1.000000,1.000000,0.200000,7.340000,0.534368,0.000000,219.836545,2.201171
5.000000,1.000000,3.000000,1.000000,1.000000,0.500000,7.340000,0.534368,0.000000,219.836545,2.201171
5.000000,1.000000,3.000000,1.000000,1.000000,1.000000,7.340000,0.534368,0.000000,219.836545,2.201171
5.000000,1.000000,3.000000,1.000000,3.000000,0.200000,6.660000,0.534368,0.000000,219.836545,2.419146
5.000000,1.000000,3.000000,1.000000,3.000000,0.500000,6.660000,0.534368,0.000000,219.836545,2.419146
5.000000,1.000000,3.000000,1.000000,3.000000,1.000000,6.660000,0.534368,0.000000,219.836545,2.419146
5.000000,1.000000,3.000000,0.200000,1.000000,0.200000,17.710000,0.120817,0.000000,67.882912,0.299112
5.000000,1.000000,3.000000,0.200000,1.000000,0.500000,17.710000,0.120817,0.000000,67.882912,0.299112
5.000000,1.000000,3.000000,0.200000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,1.000000,3.000000,0.200000,3.000000,0.200000,10.340000,0.120817,0.000000,67.882912,0.339787
5.000000,1.000000,3.000000,0.200000,3.000000,0.500000,10.340000,0.120817,0.000000,67.882912,0.339787
5.000000,1.000000,3.000000,0.200000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,1.000000,5.000000,2.000000,1.000000,0.200000,4.200000,0.470469,0.000000,722.828427,12.859051
5.000000,1.000000,5.000000,2.000000,1.000000,0.500000,4.200000,0.470469,0.000000,722.828427,12.859051
5.000000,1.000000,5.000000,2.000000,1.000000,1.000000,4.200000,0.470469,0.000000,722.828427,12.859051
5.000000,1.000000,5.000000,2.000000,3.000000,0.200000,3.800000,0.470469,0.000000,722.828427,14.188655
5.000000,1.000000,5.000000,2.000000,3.000000,0.500000,3.800000,0.470469,0.000000,722.828427,14.188655
5.000000,1.000000,5.000000,2.000000,3.000000,1.000000,3.800000,0.470469,0.000000,722.828427,14.188655
5.000000,1.000000,5.000000,1.000000,1.000000,0.200000,5.040000,0.285283,0.000000,471.640909,5.244139
5.000000,1.000000,5.000000,1.000000,1.000000,0.500000,5.040000,0.285283,0.000000,471.640909,5.244139
5.000000,1.000000,5.000000,1.000000,1.000000,1.000000,5.040000,0.285283,0.000000,471.640909,5.244139
5.000000,1.000000,5.000000,1.000000,3.000000,0.200000,4.580000,0.285283,0.000000,471.640909,5.687823
5.000000,1.000000,5.000000,1.000000,3.000000,0.500000,4.580000,0.285283,0.000000,471.640909,5.687823
5.000000,1.000000,5.000000,1.000000,3.000000,1.000000,4.580000,0.285283,0.000000,471.640909,5.687823
5.000000,1.000000,5.000000,0.200000,1.000000,0.200000,14.170000,0.190990,0.000000,115.672954,0.615116
5.000000,1.000000,5.000000,0.200000,1.000000,0.500000,14.170000,0.190990,0.000000,115.672954,0.615116
5.000000,1.000000,5.000000,0.200000,1.000000,1.000000,14.150000,0.190990,1.000000,115.672954,0.636722
5.000000,1.000000,5.000000,0.200000,3.000000,0.200000,7.580000,0.190990,0.000000,115.672954,0.739407
5.000000,1.000000,5.000000,0.200000,3.000000,0.500000,7.580000,0.190990,0.000000,115.672954,0.739407
5.000000,1.000000,5.000000,0.200000,3.000000,1.000000,7.580000,0.190990,0.000000,115.672954,0.739407
5.000000,1.000000,10.000000,2.000000,1.000000,0.200000,2.510000,0.275122,0.000000,1937.363196,38.126346
5.000000,1.000000,10.000000,2.000000,1.000000,0.500000,2.510000,0.275122,0.000000,1937.363196,38.126346
5.000000,1.000000,10.000000,2.000000,1.000000,1.000000,2.510000,0.275122,0.000000,1937.363196,38.126346
5.000000,1.000000,10.000000,2.000000,3.000000,0.200000,2.280000,0.275122,0.000000,1937.363196,41.351553
5.000000,1.000000,10.000000,2.000000,3.000000,0.500000,2.280000,0.275122,0.000000,1937.363196,41.351553
5.000000,1.000000,10.000000,2.000000,3.000000,1.000000,2.280000,0.275122,0.000000,1937.363196,41.351553
5.000000,1.000000,10.000000,1.000000,1.000000,0.200000,4.280000,0.157061,0.000000,1104.627765,20.831842
5.000000,1.000000,10.000000,1.000000,1.000000,0.500000,4.280000,0.157061,0.000000,1104.627765,20.831842
5.000000,1.000000,10.000000,1.000000,1.000000,1.000000,4.280000,0.157061,0.000000,1104.627765,20.831842
5.000000,1.000000,10.000000,1.000000,3.000000,0.200000,2.690000,0.157061,0.000000,1104.627765,21.648800
5.000000,1.000000,10.000000,1.000000,3.000000,0.500000,2.690000,0.157061,0.000000,1104.627765,21.648800
5.000000,1.000000,10.000000,1.000000,3.000000,1.000000,2.690000,0.157061,0.000000,1104.627765,21.648800
5.000000,1.000000,10.000000,0.200000,1.000000,0.200000,14.030000,0.248931,0.000000,234.490880,1.623571
5.000000,1.000000,10.000000,0.200000,1.000000,0.500000,14.030000,0.248931,0.000000,234.490880,1.623571
5.000000,1.000000,10.000000,0.200000,1.000000,1.000000,13.940000,0.248931,1.000000,234.490880,1.639991
5.000000,1.000000,10.000000,0.200000,3.000000,0.200000,5.180000,0.248931,0.000000,234.490880,2.199350
5.000000,1.000000,10.000000,0.200000,3.000000,0.500000,5.180000,0.248931,0.000000,234.490880,2.199350
5.000000,1.000000,10.000000,0.200000,3.000000,1.000000,5.180000,0.248931,0.000000,234.490880,2.199350
5.000000,3.000000,3.000000,2.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,2.000000,1.000000,0.500000,97.670000,0.450853,8.000000,762.267348,7.910465
5.000000,3.000000,3.000000,2.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,2.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,2.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,2.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,1.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,0.200000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,0.200000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,0.200000,1.000000,1.000000,70.090000,2.201639,11.000000,70.331219,0.339062
5.000000,3.000000,3.000000,0.200000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,0.200000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,3.000000,0.200000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,2.000000,1.000000,0.200000,76.650000,1.082027,8.000000,1518.202599,23.909379
5.000000,3.000000,5.000000,2.000000,1.000000,0.500000,72.620000,0.965350,8.000000,1735.952220,19.248716
5.000000,3.000000,5.000000,2.000000,1.000000,1.000000,66.320000,0.794773,8.000000,1386.024286,14.855466
5.000000,3.000000,5.000000,2.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,2.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,2.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,1.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,1.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,1.000000,1.000000,1.000000,89.010000,1.937308,12.000000,562.365802,4.863560
5.000000,3.000000,5.000000,1.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,1.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,1.000000,3.000000,1.000000,84.160000,1.496286,12.000000,562.365802,5.645807
5.000000,3.000000,5.000000,0.200000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,0.200000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,0.200000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,0.200000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,0.200000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,5.000000,0.200000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,2.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,2.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,2.000000,1.000000,1.000000,44.060000,2.417345,8.000000,3007.322242,42.897006
5.000000,3.000000,10.000000,2.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,2.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,2.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,1.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,3.000000,10.000000,0.200000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,2.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,1.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,3.000000,0.200000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,2.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,3.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,3.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,1.000000,3.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,0.200000,1.000000,0.200000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
5.000000,5.000000,5.000000,0.200000,1.000000,0.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
