obsrad,prox,maxvel,acce_tc,wrt,svt,time,arb,num_a_s,max_jerk,ave_jerk
5.000000,1.000000,3.000000,2.000000,1.000000,0.200000,23.390000,0.356273,0.000000,453.712463,3.222940
5.000000,1.000000,3.000000,2.000000,1.000000,0.500000,23.390000,0.356273,0.000000,453.712463,3.222940
5.000000,1.000000,3.000000,2.000000,1.000000,1.000000,23.390000,0.356273,0.000000,453.712463,3.222940
5.000000,1.000000,3.000000,2.000000,3.000000,0.200000,22.730000,0.356273,0.000000,453.712463,3.316551
5.000000,1.000000,3.000000,2.000000,3.000000,0.500000,22.730000,0.356273,0.000000,453.712463,3.316551
5.000000,1.000000,3.000000,2.000000,3.000000,1.000000,22.730000,0.356273,0.000000,453.712463,3.316551
5.000000,1.000000,3.000000,1.000000,1.000000,0.200000,23.930000,0.515045,0.000000,228.294557,1.614757
5.000000,1.000000,3.000000,1.000000,1.000000,0.500000,23.930000,0.515045,0.000000,228.294557,1.614757
5.000000,1.000000,3.000000,1.000000,1.000000,1.000000,23.930000,0.515045,0.000000,228.294557,1.614757
5.000000,1.000000,3.000000,1.000000,3.000000,0.200000,23.260000,0.515045,0.000000,228.294557,1.661072
5.000000,1.000000,3.000000,1.000000,3.000000,0.500000,23.260000,0.515045,0.000000,228.294557,1.661072
5.000000,1.000000,3.000000,1.000000,3.000000,1.000000,23.260000,0.515045,0.000000,228.294557,1.661072
5.000000,1.000000,3.000000,0.200000,1.000000,0.200000,28.280000,0.907460,0.000000,45.917690,0.346157
5.000000,1.000000,3.000000,0.200000,1.000000,0.500000,28.280000,0.907460,0.000000,45.917690,0.346157
5.000000,1.000000,3.000000,0.200000,1.000000,1.000000,33.950000,0.930731,3.000000,43.344466,0.327207
5.000000,1.000000,3.000000,0.200000,3.000000,0.200000,27.530000,0.907460,0.000000,45.917690,0.355174
5.000000,1.000000,3.000000,0.200000,3.000000,0.500000,27.530000,0.907460,0.000000,45.917690,0.355174
5.000000,1.000000,3.000000,0.200000,3.000000,1.000000,29.150000,0.899175,1.000000,52.491791,0.329938
5.000000,1.000000,5.000000,2.000000,1.000000,0.200000,14.310000,0.451386,0.000000,756.633418,8.939588
5.000000,1.000000,5.000000,2.000000,1.000000,0.500000,14.310000,0.451386,0.000000,756.633418,8.939588
5.000000,1.000000,5.000000,2.000000,1.000000,1.000000,14.310000,0.451386,0.000000,756.633418,8.939588
5.000000,1.000000,5.000000,2.000000,3.000000,0.200000,13.910000,0.451386,0.000000,756.633418,9.196240
5.000000,1.000000,5.000000,2.000000,3.000000,0.500000,13.910000,0.451386,0.000000,756.633418,9.196240
5.000000,1.000000,5.000000,2.000000,3.000000,1.000000,13.910000,0.451386,0.000000,756.633418,9.196240
5.000000,1.000000,5.000000,1.000000,1.000000,0.200000,14.570000,0.577242,0.000000,380.180134,3.863879
5.000000,1.000000,5.000000,1.000000,1.000000,0.500000,14.570000,0.577242,0.000000,380.180134,3.863879
5.000000,1.000000,5.000000,1.000000,1.000000,1.000000,14.570000,0.577242,0.000000,380.180134,3.863879
5.000000,1.000000,5.000000,1.000000,3.000000,0.200000,14.170000,0.577242,0.000000,380.180134,3.970751
5.000000,1.000000,5.000000,1.000000,3.000000,0.500000,14.170000,0.577242,0.000000,380.180134,3.970751
5.000000,1.000000,5.000000,1.000000,3.000000,1.000000,14.170000,0.577242,0.000000,380.180134,3.970751
5.000000,1.000000,5.000000,0.200000,1.000000,0.200000,18.690000,0.983409,0.000000,107.679923,0.892181
5.000000,1.000000,5.000000,0.200000,1.000000,0.500000,18.690000,0.983409,0.000000,107.679923,0.892181
5.000000,1.000000,5.000000,0.200000,1.000000,1.000000,18.690000,0.983409,0.000000,107.679923,0.892181
5.000000,1.000000,5.000000,0.200000,3.000000,0.200000,18.170000,0.983409,0.000000,107.679923,0.905614
5.000000,1.000000,5.000000,0.200000,3.000000,0.500000,18.170000,0.983409,0.000000,107.679923,0.905614
5.000000,1.000000,5.000000,0.200000,3.000000,1.000000,18.170000,0.983409,0.000000,107.679923,0.905614
5.000000,1.000000,10.000000,2.000000,1.000000,0.200000,7.270000,0.572986,0.000000,1506.595112,30.220994
